,set,artist,song,vox_type,start,stop,lyrics,spk_id,utt_id,mix_file,vox_file,sr
0,train,A Classic Education,NightOwl,a,0000,0008,I THINK YOU'RE RIGHT I DO,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000000,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
1,train,A Classic Education,NightOwl,a,0008,0018,ONLY FEEL US OR YOU,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000001,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
2,train,A Classic Education,NightOwl,a,0018,0023,I KNOW THE REASONS WHY,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000002,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
3,train,A Classic Education,NightOwl,a,0023,0028,YOU CRAVE MORE,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000003,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
4,train,A Classic Education,NightOwl,a,0028,0034,HARDER THAN ONE,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000004,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
5,train,A Classic Education,NightOwl,a,0034,0043,YOU COME UP WITH NONE LITTLE DID I THINK,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000005,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
6,train,A Classic Education,NightOwl,c,0043,0051,NIGHT OWL RED NIGHT PROMISE,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000006,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
7,train,A Classic Education,NightOwl,a,0051,0058,SLASHES OF LOVE,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000007,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
8,train,A Classic Education,NightOwl,b,0058,0063,OH OH,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000008,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
9,train,A Classic Education,NightOwl,c,0063,0073,OH OH OH OH OH OH OH OH,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000009,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
