,set,artist,song,lyrics,start,stop,spk_id,utt_id,mix_file,vox_file,sr
0,train,6,39,<NO_VOX>,0000.00,0008.92,mashups_06-part_0039,mashups_06-part_0039-0000000,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
1,train,6,39,DO YOU REMEMBER THE POWER IN OUR HANDS THE FIRE IN OUR VEINS,0008.92,0021.67,mashups_06-part_0039,mashups_06-part_0039-0000001,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
2,train,6,39,RUNNING TOGETHER AND THERE WOULD BE NO END TO THE SPIRIT AND THE FLAME,0021.67,0034.41,mashups_06-part_0039,mashups_06-part_0039-0000002,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
3,train,6,39,<NO_VOX>,0034.41,0042.06,mashups_06-part_0039,mashups_06-part_0039-0000003,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
4,train,6,39,<NO_VOX>,0042.06,0050.98,mashups_06-part_0039,mashups_06-part_0039-0000004,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
5,train,6,39,<NO_VOX>,0050.98,0063.73,mashups_06-part_0039,mashups_06-part_0039-0000005,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
6,train,6,39,BORN IN A FEVER THE MUSIC IN OUR HEADS WAS STRONGER THAN A CHAIN,0063.73,0075.20,mashups_06-part_0039,mashups_06-part_0039-0000006,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
7,train,6,39,AS WE GREW OLDER,0075.20,0080.29,mashups_06-part_0039,mashups_06-part_0039-0000007,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
8,train,6,39,HOW MUCH OF THAT REMAINED HOW MUCH HAS PASSED AWAY,0080.29,0090.49,mashups_06-part_0039,mashups_06-part_0039-0000008,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
9,train,6,39,<NO_VOX>,0090.49,0096.86,mashups_06-part_0039,mashups_06-part_0039-0000009,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
10,train,6,39,<NO_VOX>,0096.86,0104.51,mashups_06-part_0039,mashups_06-part_0039-0000010,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
11,train,6,39,<NO_VOX>,0104.51,0113.43,mashups_06-part_0039,mashups_06-part_0039-0000011,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
12,train,6,39,<NO_VOX>,0113.43,0123.63,mashups_06-part_0039,mashups_06-part_0039-0000012,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
13,train,6,39,<NO_VOX>,0123.63,0135.10,mashups_06-part_0039,mashups_06-part_0039-0000013,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
14,train,6,39,<NO_VOX>,0135.10,0141.47,mashups_06-part_0039,mashups_06-part_0039-0000014,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
15,train,6,39,<NO_VOX>,0141.47,0149.12,mashups_06-part_0039,mashups_06-part_0039-0000015,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
